YYYY-MM-DD HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
2005-01-01 01:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.3,51,0.034,1
2005-01-01 02:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.034,1
2005-01-01 03:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.034,1
2005-01-01 04:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.034,1
2005-01-01 05:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.034,1
2005-01-01 06:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.034,1
2005-01-01 07:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.2,3,0.034,1
2005-01-01 08:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.2,3,0.034,1
2005-01-01 09:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.1,3,0.034,1
2005-01-01 10:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.0,3,0.034,1
2005-01-01 11:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,-990,1.0,3,0.034,1
2005-01-01 12:00,89.9,158.7,0,177,-9900,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,99,-9900,99,-9900,99,-990,0.9,3,0.034,1
2005-01-01 13:00,89.0,166.4,24,1415,-9900,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,99,-9900,99,-9900,99,-990,0.9,3,0.034,1
