YYYY-MM-DD HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (W/m^2),ETRN (W/m^2),Glo Mod (W/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (W/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod  (W/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (W/m^2),Meas Glo Flg,Meas Dir (W/m^2),Meas Dir Flg,Meas Dif (W/m^2),Meas Dif Flg,TotCC (10ths),Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
2005-01-01 01:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.2,51,0.118,1
2005-01-01 02:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.2,3,0.118,1
2005-01-01 03:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.1,3,0.118,1
2005-01-01 04:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.0,3,0.118,1
2005-01-01 05:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.0,3,0.118,1
2005-01-01 06:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.0,3,0.118,1
2005-01-01 07:00,89.8,117.7,0,59,0,8,2,0,15,2,0,8,2,-9900,99,-9900,99,-9900,99,-990,1.0,3,0.118,1
2005-01-01 08:00,84.6,122.2,134,1415,50,8,2,279,15,2,23,8,2,-9900,99,-9900,99,-9900,99,-990,1.1,3,0.118,1
2005-01-01 09:00,74.8,132.0,372,1415,203,8,2,491,15,2,73,8,2,-9900,99,-9900,99,-9900,99,-990,1.2,3,0.118,1
2005-01-01 10:00,66.4,143.6,566,1415,365,8,2,564,15,2,139,8,2,-9900,99,-9900,99,-9900,99,-990,1.2,3,0.118,1
2005-01-01 11:00,60.3,157.4,702,1415,378,8,2,271,15,2,243,8,2,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.118,1
2005-01-01 12:00,57.1,173.1,769,1415,154,8,2,0,15,2,154,8,2,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.118,1
2005-01-01 13:00,57.4,189.5,763,1415,164,8,2,0,15,2,164,8,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-01 14:00,61.1,205.0,685,1415,219,8,2,19,15,2,210,8,2,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.118,1
2005-01-01 15:00,67.6,218.4,539,1415,189,8,2,19,15,2,181,8,2,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.118,1
2005-01-01 16:00,76.3,229.7,336,1415,129,8,2,30,15,2,121,8,2,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.118,1
2005-01-01 17:00,85.6,238.7,96,1238,16,8,2,14,15,2,15,8,2,-9900,99,-9900,99,-9900,99,-990,1.3,3,0.118,1
2005-01-01 18:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-01 19:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.5,3,0.118,1
2005-01-01 20:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-01 21:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-01 22:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-01 23:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-01 24:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-02 01:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-02 02:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-02 03:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
2005-01-02 04:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,-990,1.4,3,0.118,1
