Date,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010-12-01 00:50:00,143,10.9,13.1,1.9,6.67,4.94,999,1020,15.1,13,13.8,99,99
2010-12-01 01:50:00,142,11,13.1,1.95,6.25,5.01,999,1018.9,15,13,14.1,99,99
2010-12-01 02:50:00,142,10.8,12.8,2.21,6.25,5.15,999,1018.1,15,13.1,14.3,99,99
2010-12-01 03:50:00,141,10,12.1,2.1,6.67,5.13,999,1017.4,15,13.1,14.4,99,99
2010-12-01 04:50:00,142,10.3,12.4,2.09,6.25,4.95,999,1016.4,15.1,13.1,14.5,99,99
2010-12-01 05:50:00,146,9.5,11.5,1.85,6.25,4.91,999,1015.9,15,13.1,14.6,99,99
2010-12-01 06:50:00,155,10.2,12,2.12,6.67,5.15,999,1015,15.4,13,14.2,99,99
2010-12-01 07:50:00,144,9.8,11.8,1.96,13.79,5.11,999,1013.8,15,12.9,14.5,99,99
2010-12-01 08:50:00,142,10.3,11.9,1.96,6.67,5.3,999,1012.6,15,12.8,14.9,99,99
2010-12-01 09:50:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-12-01 10:50:00,153,12.7,15.3,2.06,6.67,5,999,1010.1,15.4,12.8,15.3,99,99
2010-12-01 11:50:00,150,12.3,14.8,2.16,6.67,5.06,999,1009.5,15.2,12.7,15.1,99,99
2010-12-01 12:50:00,156,13.7,16.9,2.57,7.14,5.33,999,1008.3,15.6,12.8,15.5,99,99
2010-12-01 13:50:00,154,14,17,2.68,7.14,5.52,999,1007.2,15.4,12.8,15.3,99,99
2010-12-01 14:50:00,151,14.2,17.4,3.1,7.14,5.79,999,1005.9,15.6,12.8,15.5,99,99
2010-12-01 15:50:00,156,14.1,17.3,3.11,8.33,5.71,999,1004.4,15.9,12.8,15.8,99,99
2010-12-01 16:50:00,165,14.3,17.1,3.54,7.69,6.04,999,1002.6,16,12.8,15.9,99,99
2010-12-01 17:50:00,209,13.4,16.4,3.71,8.33,6.1,999,1003.1,15.4,12.8,15.3,99,99
2010-12-01 18:50:00,212,8.8,10.2,3.42,9.09,6.2,999,1003.5,14.4,12.8,14.3,99,99
2010-12-01 19:50:00,311,10.6,13.8,2.9,9.09,6.07,999,1005,11.5,12.8,9.8,99,99
2010-12-01 20:50:00,308,11.2,13.6,99,99,99,999,1006.6,10.1,12.7,8,99,99
2010-12-01 21:50:00,310,10.5,13.4,2.62,10,5.52,999,1008.4,9.8,12.7,6.8,99,99
2010-12-01 22:50:00,309,12.2,14.7,2.49,10,5.52,999,1009.8,8.6,12.6,4.2,99,99
2010-12-01 23:50:00,315,12.4,14.4,2.22,10,5.13,999,1011.1,8,12.6,3.4,99,99
2010-12-02 00:50:00,312,11.7,15.1,2.18,10,5.19,999,1012.3,7.3,12.6,1.6,99,99
2010-12-02 01:50:00,310,12,14.9,99,99,99,999,1013.3,7.2,12.6,0.1,99,99
2010-12-02 02:50:00,309,13.4,16.1,2.18,9.09,5.17,999,1013.9,6.8,12.6,-1.3,99,99
2010-12-02 03:50:00,306,12.1,99,99,99,99,999,9999,999,999,999,99,99
2010-12-02 04:50:00,309,12.4,15,2.02,5,4.97,999,1015.4,6,12.5,-0.5,99,99
2010-12-02 05:50:00,305,10.8,13.5,1.93,5.26,4.97,999,1015.8,5.9,12.5,-1.2,99,99
