Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4, Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4, Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4
result_1.mat
RMSE,,,,,,,,,MAPE,,,,,,,,,MASE,,,,,,,,,
0.0956, 0.0931, 0.0579, 0.0885, 0.0772, 0.0568, 0.0604, 0.0568, 0.0590,32.1857, 35.4631, 19.7616, 31.7467, 26.2038, 20.1270, 20.6888, 20.0859, 20.1566,0.9976, 0.9898, 0.6511, 0.9522, 0.8420, 0.6397, 0.6572, 0.6417, 0.6481 
0.0555, 0.0678, 0.0327, 0.0349, 0.0566, 0.0485, 0.0498, 0.0345, 0.0364,14.7731, 15.7752, 8.2624, 8.8087, 12.6629, 10.4558, 9.2045, 8.4107, 8.6719,0.9989, 1.1624, 0.5924, 0.6221, 0.9372, 0.8084, 0.7647, 0.6095, 0.6333 
0.0584, 0.0581, 0.0346, 0.0408, 0.0466, 0.0359, 0.0356, 0.0357, 0.0367,38.7347, 44.4987, 23.7076, 39.5717, 37.8976, 25.8723, 27.4348, 24.0878, 25.8434,0.9974, 0.9989, 0.6117, 0.7369, 0.7818, 0.6226, 0.6259, 0.6174, 0.6320 
0.1206, 0.1154, 0.0653, 0.0638, 0.0889, 0.0646, 0.0642, 0.0649, 0.0653,26.7517, 27.5463, 14.3661, 15.3186, 19.6962, 14.4922, 14.4807, 14.3999, 14.2890,0.9979, 0.9611, 0.5498, 0.5498, 0.7405, 0.5509, 0.5495, 0.5505, 0.5498 
0.0871, 0.0837, 0.0593, 0.0721, 0.0732, 0.0614, 0.0626, 0.0607, 0.0625,48.7678, 69.2109, 34.7087, 61.1338, 37.0168, 33.9356, 35.2187, 34.2451, 34.1427,0.9966, 0.9680, 0.6360, 0.8542, 0.7698, 0.6426, 0.6508, 0.6397, 0.6496 
0.0999, 0.0966, 0.0533, 0.0948, 0.0712, 0.0535, 0.0567, 0.0534, 0.0531,55.0054, 75.2188, 43.4677, 75.4448, 59.9659, 43.9287, 51.8901, 42.5184, 40.3514,0.9998, 0.9898, 0.5645, 0.9616, 0.7187, 0.5612, 0.5909, 0.5604, 0.5555 
0.0575, 0.0542, 0.0313, 0.0541, 0.0400, 0.0313, 0.0316, 0.0307, 0.0315,22.7995, 21.5046, 12.2343, 20.9941, 14.6158, 12.4012, 12.3290, 12.3092, 12.5342,1.0004, 0.9646, 0.5722, 0.9687, 0.7226, 0.5707, 0.5755, 0.5596, 0.5714 
0.0746, 0.0939, 0.0596, 0.0762, 0.0558, 0.0633, 0.0614, 0.0611, 0.0564,15.2536, 19.0356, 11.5344, 15.6152, 13.2646, 11.8161, 11.3932, 11.6894, 10.8906,0.9972, 1.3420, 0.8438, 1.0640, 0.8033, 0.8691, 0.8341, 0.8599, 0.7863 
0.0778, 0.0756, 0.0445, 0.0443, 0.0550, 0.0442, 0.0446, 0.0441, 0.0442,38.6837, 41.7124, 21.1173, 21.1421, 28.0361, 20.9085, 20.9459, 20.5939, 21.0150,0.9996, 1.0114, 0.6082, 0.6109, 0.7307, 0.6021, 0.5989, 0.5976, 0.5968 
0.0952, 0.0942, 0.0565, 0.0579, 0.0749, 0.0568, 0.0570, 0.0572, 0.0573,12.0486, 12.0902, 7.1686, 7.0271, 9.5132, 7.1463, 6.9982, 7.2350, 7.1233,0.9985, 1.0003, 0.5723, 0.5680, 0.7747, 0.5704, 0.5594, 0.5728, 0.5651 
0.0639, 0.0645, 0.0383, 0.0621, 0.0522, 0.0399, 0.0408, 0.0398, 0.0390,47.7309, 67.3690, 23.5016, 54.7266, 42.0121, 20.5609, 22.4904, 20.8931, 21.3987,0.9997, 1.0169, 0.6010, 0.9896, 0.8063, 0.6103, 0.6238, 0.6101, 0.6066 
0.0435, 0.0437, 0.0236, 0.0317, 0.0333, 0.0242, 0.0256, 0.0241, 0.0253,12.2964, 12.3149, 6.5584, 9.0467, 9.3813, 6.6002, 6.8151, 6.5830, 6.7580,0.9992, 1.0029, 0.5522, 0.7637, 0.7883, 0.5590, 0.5824, 0.5567, 0.5732 
0.0810, 0.0804, 0.0405, 0.0415, 0.0589, 0.0411, 0.0411, 0.0411, 0.0409,102.5947, 175.3597, 79.0669, 71.2040, 109.9317, 76.7082, 73.4571, 74.9859, 78.2848,0.9986, 1.0517, 0.5651, 0.5804, 0.7719, 0.5691, 0.5669, 0.5674, 0.5696 
0.0779, 0.0757, 0.0407, 0.0732, 0.0621, 0.0404, 0.0403, 0.0406, 0.0404,13.5132, 13.4679, 7.4655, 13.3766, 10.3462, 7.4991, 7.3933, 7.5322, 7.5239,0.9981, 0.9765, 0.5410, 0.9533, 0.7693, 0.5430, 0.5331, 0.5434, 0.5413 
0.0764, 0.0750, 0.0409, 0.0719, 0.0590, 0.0415, 0.0417, 0.0413, 0.0416,136.8133, 159.8423, 47.9245, 142.1041, 93.8024, 55.0093, 45.8315, 46.7014, 47.1871,0.9964, 1.0005, 0.5457, 0.9569, 0.8080, 0.5582, 0.5446, 0.5461, 0.5508 
0.0792, 0.0789, 0.0460, 0.0783, 0.0644, 0.0459, 0.0473, 0.0459, 0.0448,62.1316, 67.4750, 46.4228, 73.7302, 49.5568, 48.3979, 51.2444, 48.7278, 47.4107,0.9977, 1.0107, 0.5989, 1.0276, 0.8156, 0.5952, 0.6101, 0.5920, 0.5727 
0.0438, 0.0444, 0.0244, 0.0401, 0.0358, 0.0246, 0.0248, 0.0245, 0.0247,7.4116, 7.4875, 4.2447, 6.9745, 6.0707, 4.2977, 4.2920, 4.2618, 4.2888,0.9968, 1.0070, 0.5638, 0.9445, 0.8124, 0.5726, 0.5723, 0.5659, 0.5702 
0.0407, 0.0404, 0.0235, 0.0237, 0.0321, 0.0238, 0.0239, 0.0240, 0.0240,15.4901, 15.8959, 9.3548, 9.4900, 12.3354, 9.7241, 9.7469, 9.7291, 9.6827,0.9966, 0.9960, 0.5850, 0.5927, 0.7622, 0.5928, 0.5916, 0.5965, 0.5955 
0.0912, 0.0906, 0.0544, 0.0589, 0.0722, 0.0568, 0.0559, 0.0551, 0.0560,66.4832, 82.7353, 59.3680, 64.7333, 63.4481, 65.7908, 64.3668, 62.0194, 61.2701,1.0040, 1.0010, 0.6013, 0.6418, 0.8108, 0.6225, 0.6210, 0.6083, 0.6116 
0.0818, 0.0883, 0.0423, 0.0729, 0.0653, 0.0419, 0.0436, 0.0418, 0.0415,24.0070, 27.6618, 13.7535, 22.8806, 20.5106, 14.1656, 14.0814, 13.9377, 13.5896,0.9992, 1.0580, 0.5572, 0.8945, 0.7949, 0.5524, 0.5655, 0.5508, 0.5456 
0.0670, 0.1446, 0.0416, 0.0586, 0.0546, 0.0431, 0.0453, 0.0424, 0.0421,10.5189, 18.9779, 7.2143, 9.2645, 9.5784, 7.6156, 7.8225, 7.4317, 7.3305,0.9998, 2.1167, 0.6384, 0.8444, 0.8322, 0.6639, 0.6895, 0.6513, 0.6443 
result_2.mat
RMSE,,,,,,,,,MAPE,,,,,,,,,MASE,,,,,,,,,
0.1209, 0.1143, 0.0690, 0.1042, 0.0972, 0.0675, 0.0711, 0.0675, 0.0692,42.4697, 46.5627, 23.7728, 39.6802, 35.4328, 23.4076, 24.2202, 23.5326, 23.8658,1.3323, 1.2854, 0.7499, 1.2021, 1.0372, 0.7302, 0.7596, 0.7324, 0.7427 
0.0855, 0.1104, 0.0431, 0.0583, 0.0762, 0.0462, 0.0485, 0.0464, 0.0481,22.3885, 24.5643, 11.2409, 16.7622, 18.3305, 11.3557, 11.7231, 11.7876, 11.7111,1.5406, 1.8837, 0.7561, 1.0024, 1.2954, 0.7798, 0.8192, 0.7942, 0.8153 
0.0780, 0.0776, 0.0384, 0.0414, 0.0628, 0.0400, 0.0394, 0.0395, 0.0398,53.6081, 63.0711, 31.4912, 43.2019, 72.3706, 37.0718, 34.9919, 33.5325, 34.0989,1.3446, 1.3360, 0.6809, 0.7523, 1.0801, 0.7064, 0.7027, 0.6959, 0.7046 
0.1490, 0.1393, 0.0851, 0.1031, 0.1126, 0.0859, 0.0850, 0.0871, 0.0866,34.4143, 36.4276, 19.1192, 24.4987, 28.6431, 19.2378, 19.4474, 19.1152, 19.2734,1.3017, 1.2317, 0.6864, 0.8388, 0.9718, 0.7037, 0.7038, 0.7068, 0.7073 
0.1165, 0.1130, 0.0640, 0.0812, 0.0856, 0.0643, 0.0647, 0.0653, 0.0664,60.3084, 91.4427, 37.4523, 69.2067, 52.1734, 36.9012, 38.3440, 37.7825, 38.0574,1.2523, 1.2364, 0.7149, 0.9120, 0.9342, 0.7180, 0.7205, 0.7245, 0.7297 
