SVR vs EMD-SVR,,,,,
, RMSE,,,, MAPE,,,, MASE,,,,
Horizon, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection
1, -4.01, 231, 0, Y, -4.01, 231, 0, Y, -4.01, 231, 0, Y
2, -4.01, 231, 0, Y, -4.01, 231, 0, Y, -4.01, 231, 0, Y
3, -4.01, 231, 0, Y, -4.01, 231, 0, Y, -4.01, 231, 0, Y
4, -4.01, 231, 0, Y, -4.01, 231, 0, Y, -4.01, 231, 0, Y
5, -4.01, 231, 0, Y, -4.01, 231, 0, Y, -4.01, 231, 0, Y

EMD-SVR vs P1,,,,,
, RMSE,,,, MAPE,,,, MASE,,,,
Horizon, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection
1, -2.38, 47, 184, Y, -1.96, 59, 172, Y, -2.31, 49, 182, Y
2, -2.55, 42, 189, Y, -1.86, 62, 169, N, -2.87, 33, 198, Y
3, -1.27, 79, 152, N, -2.24, 51, 180, Y, -2.14, 54, 177, Y
4, -0.61, 98, 133, N, -2.21, 52, 179, Y, -1.51, 72, 159, N
5, -2.24, 51, 180, Y, -1.13, 83, 148, N, -1.96, 59, 172, Y

EMD-SVR vs P2,,,,,
, RMSE,,,, MAPE,,,, MASE,,,,
Horizon, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection
1, -3.56, 13, 218, Y, -1.55, 71, 160, N, -2.49, 44, 187, Y
2, -2.52, 43, 188, Y, -2.87, 33, 198, Y, -2.90, 32, 199, Y
3, -1.09, 84, 147, N, -2.00, 58, 173, Y, -2.03, 57, 174, Y
4, -2.28, 50, 181, Y, -2.66, 39, 192, Y, -3.22, 23, 208, Y
5, -1.30, 78, 153, N, -1.41, 75, 156, N, -1.79, 64, 167, N

EMD-SVR vs P3,,,,,
, RMSE,,,, MAPE,,,, MASE,,,,
Horizon, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection
1, -2.21, 52, 179, Y, -0.47, 102, 129, N, -1.23, 80, 151, N
2, -2.14, 54, 177, Y, -1.86, 62, 169, N, -1.69, 67, 164, N
3, -0.50, 130, 101, N, -0.85, 91, 140, N, -0.12, 119, 112, N
4, -1.06, 85, 146, N, -1.13, 83, 148, N, -2.17, 53, 178, Y
5, -0.12, 112, 119, N, -0.40, 104, 127, N, -0.75, 94, 137, N

EMD-SVR vs P4,,,,,
, RMSE,,,, MAPE,,,, MASE,,,,
Horizon, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection, Z, + Rank, - Rank, H0 Rejection
1, -2.00, 58, 173, Y, -0.02, 116, 115, N, -0.64, 97, 134, N
2, -2.24, 51, 180, Y, -2.00, 58, 173, Y, -1.76, 65, 166, N
3, -0.54, 100, 131, N, -0.71, 95, 136, N, -0.82, 92, 139, N
4, -1.20, 81, 150, N, -2.66, 39, 192, Y, -2.07, 56, 175, Y
5, -0.26, 123, 108, N, -1.30, 78, 153, N, -0.71, 95, 136, N
