X1 X2 X3 X4 Y
1.25 1 1.25 1.25 23.2
2 1.75 3 1.75 17.4
2 1.75 5.16 1.75 13.7
2 1.75 0.84 1.75 24.5
2 1.75 3 3.05 22.7
2 1.75 3 0.45 7.8
2 3.05 3 1.75 16.5
2 1.75 3 1.75 17.3
2 1 1.75 2.5 22.6
2 1 3.75 1 11.7
2 2.5 1.75 1 15.4
2 2.5 1.75 2.5 22.7
2 2.5 3.75 2.5 18.3
2 2.5 3.75 1 10.7
2 0.45 3 1.75 16.2
2 1.75 3 1.75 16.2
1.75 2 2.75 2 18.5
1.75 1 2.75 1 15
0.75 2 2.75 1 17.7
0.75 1 2.75 2 25.5
1.25 1.5 2 1.5 20
2.25 1.5 2 1.5 16.6
0.25 1.5 2 1.5 33.8
1.25 0.5 2 1.5 23.5
1.25 1.5 2 2.5 25.1
1.25 1.5 0.5 1.5 23.8
1.25 1.5 3.5 1.5 16.1
1.25 1.5 2 1.5 19.5
2 1.75 3 1.75 16.7
2 1 1.75 1 15.8
2 1 3.75 2.5 19.2
1.25 1 1.25 1.25 22.2
1.75 2 1.25 2 22.2
1.75 1 1.25 1 19.2
0.75 2 1.25 1 23.7
0.75 1 1.25 2 32.8
1.25 2.5 2 1.5 19.7
1.25 1.5 2 0.5 13
